text,label
"I absolutely love this new update!",positive
"The service at the restaurant was terrible.",negative
"It's just an average product, nothing special.",neutral
"The customer support was very helpful and friendly.",positive
"I am very disappointed with the quality of the product.",negative
"The app crashes frequently, not happy.",negative
"This is the best phone I've ever owned!",positive
"The delivery was late, but the product is decent.",neutral
"I have no strong feelings about this.",neutral
"The movie was fantastic, I enjoyed every moment.",positive
"I won't recommend this to anyone.",negative
"The packaging was fine, nothing extraordinary.",neutral
"The experience was okay, but could be better.",neutral
"The product exceeded my expectations!",positive
"The food was bland and tasteless.",negative
"The concert was amazing, had a great time!",positive
"I didn't like the interface of the app.",negative
"The tutorial was clear and easy to follow.",positive
"The quality is acceptable, but not great.",neutral
"I found the book boring and uninteresting.",negative
"This coffee is the best I've ever had!",positive
"The battery life is short, disappointed.",negative
"The event was well-organized and enjoyable.",positive
"The store was clean, but the service was slow.",neutral
"I am not impressed with the performance.",negative
"Customer service was efficient and resolved my issue quickly.",positive
"The dress fits perfectly and looks beautiful.",positive
"I don't have much to say about this.",neutral
"The hotel was comfortable but a bit noisy.",neutral
"I loved the vibrant colors in the artwork.",positive
"The installation process was confusing and time-consuming.",negative
"The weather was nice during our trip.",neutral
"The design is sleek and modern, I love it.",positive
"The price is too high for what you get.",negative
"The sound quality is superb!",positive
"The product broke after a week of use.",negative
"The performance is adequate for basic tasks.",neutral
"I enjoyed the friendly atmosphere at the café.",positive
"The interface is cluttered and hard to navigate.",negative
"The instructions were simple and easy to understand.",positive
"I'm not particularly impressed with this.",neutral
"I love you.",positive
"I hate you.",negative
"You are neutral to me.",neutral
"I am so sad.",negative
"I like you.",positive
"The movie was a letdown, too slow and predictable.",negative
"Wonderful service, I will definitely come back.",positive
"The product was exactly as described, very satisfied.",positive
"The wait time was excessive, not happy about it.",negative
"The room was clean but a bit cramped.",neutral
"The features of the software are impressive.",positive
"Not worth the price, very disappointed.",negative
"The event exceeded all my expectations.",positive
"Average performance, nothing outstanding.",neutral
"I had a great time, would recommend to others.",positive
"Terrible customer service, would not buy again.",negative
"The course content was well-organized and engaging.",positive
